532,"Central Equatoria","Juba","Gerenya"
533,"Central Equatoria","Juba","Pego"
534,"Central Equatoria","Yei","Kundru"
535,"Central Equatoria","Juba","Duro"
536,"Central Equatoria","Juba","Kamuri"
537,"Central Equatoria","Lainya","Sakaya"
538,"Central Equatoria","Lainya","Komandani"
539,"Central Equatoria","Yei","Arbam"
540,"Central Equatoria","Juba","Lainya"
541,"Central Equatoria","Juba","Mafi"
542,"Central Equatoria","Yei","Eve"
543,"Central Equatoria","Juba","Sindiru"
544,"Central Equatoria","Juba","Nyarajar"
545,"Central Equatoria","Juba","Kagwada"
546,"Central Equatoria","Juba","Kuiaji"
547,"Central Equatoria","Yei","Rayne"
548,"Central Equatoria","Juba","Bongwa"
549,"Central Equatoria","Juba","Uoli"
550,"Central Equatoria","Juba","Edemo"
551,"Central Equatoria","Juba","Tapuri"
552,"Central Equatoria","Yei","Marawa"
553,"Central Equatoria","Yei","Kapeh"
554,"Central Equatoria","Lainya","Wari"
555,"Central Equatoria","Yei","Avokaya"
556,"Central Equatoria","Juba","Ganzi"
557,"Central Equatoria","Yei","Ikabendi"
558,"Central Equatoria","Juba","Duduru"
559,"Central Equatoria","Juba","Delili"
560,"Central Equatoria","Juba","Ueli"
561,"Central Equatoria","Juba","Kukudu"
562,"Central Equatoria","Juba","Lumer"
563,"Central Equatoria","Juba","Luluba"
564,"Central Equatoria","Yei","Kheirullah"
565,"Central Equatoria","Yei","Tore"
566,"Central Equatoria","Yei","Garmabe Shitata"
567,"Central Equatoria","Juba","Perisak"
568,"Central Equatoria","Juba","Monji"
569,"Central Equatoria","Juba","Loago"
570,"Central Equatoria","Juba","Nyarjowa"
571,"Central Equatoria","Juba","Baden"
572,"Central Equatoria","Juba","Kalakoy"
573,"Central Equatoria","Yei","Bakhit"
574,"Central Equatoria","Juba","Wonduruba"
575,"Central Equatoria","Yei","Rizqullah"
576,"Central Equatoria","Juba","Yaffa"
577,"Central Equatoria","Juba","Lagogolo"
578,"Central Equatoria","Yei","Kanza"
579,"Central Equatoria","Juba","Koli"
580,"Central Equatoria","Yei","Makuru"
581,"Central Equatoria","Yei","Rigl Aua"
582,"Central Equatoria","Juba","Lorono"
583,"Central Equatoria","Juba","Kotakodongo"
584,"Central Equatoria","Juba","Rombari"
585,"Central Equatoria","Juba","Lokiliri"
586,"Central Equatoria","Juba","Kobogi"
587,"Central Equatoria","Juba","Kuba"
588,"Central Equatoria","Lainya","Gerrim"
589,"Central Equatoria","Juba","Jigidi"
590,"Central Equatoria","Juba","Tukudungwen"
591,"Central Equatoria","Juba","Baloke"
592,"Central Equatoria","Juba","Marabi"
593,"Central Equatoria","Juba","Fedde"
594,"Central Equatoria","Juba","Kalipapa"
595,"Central Equatoria","Juba","Peki"
596,"Central Equatoria","Yei","Mukpara"
597,"Central Equatoria","Juba","Lodara"
598,"Central Equatoria","Yei","Fadl El Mula"
599,"Central Equatoria","Juba","Langabu"
600,"Central Equatoria","Juba","Digali"
601,"Central Equatoria","Juba","Mana"
602,"Central Equatoria","Juba","Mongo"
603,"Central Equatoria","Juba","Lukala"
604,"Central Equatoria","Juba","Lomiyega"
605,"Central Equatoria","Juba","Kuja"
606,"Central Equatoria","Juba","Wondurubo"
607,"Central Equatoria","Juba","Baranga"
608,"Central Equatoria","Yei","Kungu"
609,"Central Equatoria","Juba","Kaboshi"
610,"Central Equatoria","Juba","Wawa"
611,"Central Equatoria","Juba","Fidiya"
612,"Central Equatoria","Juba","Woke"
613,"Central Equatoria","Juba","Shiromba"
614,"Central Equatoria","Yei","Lantoto"
615,"Central Equatoria","Yei","Qarambi"
616,"Central Equatoria","Juba","Jigokwe"
617,"Central Equatoria","Juba","Bedden Rapids"
618,"Central Equatoria","Yei","Rasolo"
619,"Central Equatoria","Juba","Lagere"
620,"Central Equatoria","Juba","Itchire"
621,"Central Equatoria","Juba","Lakoleri"
